Station,Lat,Long,PRCP
ACEITUNA WATER TREATMENT PLANT,18.1469,-66.4919,444
ADJUNTAS 1 NW,18.1613,-66.7222,286
AGUIRRE,17.9555,-66.2222,491
AIBONITO 1 S,18.128,-66.2641,410
BORINQUEN AIRPORT,18.4977,-67.1294,181
CALERO CAMP,18.4724,-67.1155,194
CANOVANAS,18.3791,-65.8938,334
CAYEY 1 E,18.1188,-66.1658,469
COLOSO,18.3808,-67.1569,251
COROZAL SUBSTATION,18.3266,-66.3591,505
DOS BOCAS,18.3361,-66.6666,405
ENSENADA 1 W,17.9727,-66.9458,236
GUAJATACA DAM,18.3963,-66.9244,274
GUAYAMA 2 E,17.9783,-66.0874,254
GURABO SUBSTATION,18.2583,-65.9922,351
ISABELA SUBSTATION,18.4652,-67.0525,182
JAJOME ALTO,18.0716,-66.1427,471
JUANA DIAZ CAMP,18.0513,-66.4986,323
JUNCOS 1 SE,18.2264,-65.9114,363
LAJAS SUBSTATION,18.033,-67.0722,238
MANATI 2 E,18.4308,-66.4661,462
MARICAO FISH HATCHERY,18.1725,-66.9872,549
MAYAGUEZ AIRPORT,18.2538,-67.1486,215
MAYAGUEZ CITY,18.1875,-67.1377,197
MORA CAMP,18.4736,-67.0288,232
MOROVIS 1 N,18.3344,-66.4078,619
PARAISO,18.265,-65.7208,202
PONCE 4 E,18.0258,-66.5252,230
RIO BLANCO LOWER,18.2426,-65.7849,241
RIO PIEDRAS EXPERIMENTAL STATION,18.3905,-66.0541,373
ROOSEVELT ROADS,18.255,-65.64083,157
SAN JUAN L M MARIN INTERNATIONAL AIRPORT,18.4325,-66.01083,321
SANTA ISABEL,17.96917,-66.37722,310
TRUJILLO ALTO 2 SSW,18.3283,-66.0163,371
VILLALBA 1 SE,18.1094,-66.5055,374
